SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),1885 Camden Ave,SAN JOSE,CA,95124,1335000,4,,SAN JOSE,2208,6993,1965,2,605,,Active,,,http://www.redfin.com/CA/San-Jose/1885-Camden-Ave-95124/home/831544,MLSListings,ML81794490,N,Y,37.2620689,-121.92325
MLS Listing,,Single Family Residential,14480 Esther Dr,SAN JOSE,CA,95124,1250000,3,1.0,SAN JOSE,1107,8280,1948,10,1129,,Active,,,http://www.redfin.com/CA/San-Jose/14480-Esther-Dr-95124/home/1194076,MLSListings,ML81792907,N,Y,37.2581815,-121.9356006
MLS Listing,,Single Family Residential,1775 Foxworthy Ave,SAN JOSE,CA,95124,1199888,4,2.0,SAN JOSE,1589,5550,1954,31,755,,Active,,,http://www.redfin.com/CA/San-Jose/1775-Foxworthy-Ave-95124/home/852072,MLSListings,ML81790746,N,Y,37.2684844,-121.9150654
MLS Listing,,Single Family Residential,15250 Dickens Ave,SAN JOSE,CA,95124,1899000,4,3.0,SAN JOSE,2090,8248,1954,2,909,,Active,,,http://www.redfin.com/CA/San-Jose/15250-Dickens-Ave-95124/home/835967,MLSListings,ML81793837,N,Y,37.2465315,-121.9370672
MLS Listing,,Single Family Residential,2880 Custer Dr,SAN JOSE,CA,95124,1130000,3,2.0,SAN JOSE,1276,5466,1954,2,886,,Active,,,http://www.redfin.com/CA/San-Jose/2880-Custer-Dr-95124/home/852765,MLSListings,ML81794340,N,Y,37.2698896,-121.9163989
MLS Listing,,Single Family Residential,1644 Ixias Ct,SAN JOSE,CA,95124,1250000,3,2.0,SAN JOSE,1286,8526,1963,3,972,,Active,,,http://www.redfin.com/CA/San-Jose/1644-Ixias-Ct-95124/home/875182,MLSListings,ML81793958,N,Y,37.2300231,-121.9071969
MLS Listing,,Single Family Residential,1845 Charmeran Ave,SAN JOSE,CA,95124,1098000,3,2.0,SAN JOSE,1120,6021,1959,4,980,,Active,,,http://www.redfin.com/CA/San-Jose/1845-Charmeran-Ave-95124/home/635843,MLSListings,ML81792097,N,Y,37.2586105,-121.9202662
MLS Listing,,Single Family Residential,3628 Kirk Rd,SAN JOSE,CA,95124,1150000,3,2.0,SAN JOSE,1275,6254,1960,4,902,,Active,,,http://www.redfin.com/CA/San-Jose/3628-Kirk-Rd-95124/home/1501766,MLSListings,ML81794132,N,Y,37.2639691,-121.9067968
MLS Listing,,Single Family Residential,1684 Hydrangea Ln,SAN JOSE,CA,95124,1995000,3,3.0,SAN JOSE,2085,7140,1980,4,957,,Active,,,http://www.redfin.com/CA/San-Jose/1684-Hydrangea-Ln-95124/home/1340397,MLSListings,ML81794125,N,Y,37.2324652,-121.9088418
MLS Listing,,Single Family Residential,2776 Lantz Ave,SAN JOSE,CA,95124,1399000,3,2.0,SAN JOSE,1866,7343,1960,4,750,,Active,,,http://www.redfin.com/CA/San-Jose/2776-Lantz-Ave-95124/home/1517391,MLSListings,ML81794094,N,Y,37.2713463,-121.934845
MLS Listing,,Single Family Residential,5025 Esther Dr,SAN JOSE,CA,95124,1720000,3,2.5,SAN JOSE,1702,6853,1955,7,1011,,Active,,,http://www.redfin.com/CA/San-Jose/5025-Esther-Dr-95124/home/837083,MLSListings,ML81792929,N,Y,37.2464077,-121.9356006
MLS Listing,,Single Family Residential,5171 Rafton Dr,SAN JOSE,CA,95124,1585000,4,2.0,SAN JOSE,2075,7938,1962,9,764,,Active,,,http://www.redfin.com/CA/San-Jose/5171-Rafton-Dr-95124/home/890293,MLSListings,ML81793653,N,Y,37.2439498,-121.9091308
MLS Listing,,Single Family Residential,4864 Sandy Ln,SAN JOSE,CA,95124,1300000,3,2.0,SAN JOSE,1656,6377,1957,9,785,,Active,,,http://www.redfin.com/CA/San-Jose/4864-Sandy-Ln-95124/home/834032,MLSListings,ML81792438,N,Y,37.2493571,-121.9264669
MLS Listing,,Single Family Residential,2169 Rosswood Dr,SAN JOSE,CA,95124,1899000,3,3.0,SAN JOSE,1599,7288,1963,11,1188,,Active,,,http://www.redfin.com/CA/San-Jose/2169-Rosswood-Dr-95124/home/1402884,MLSListings,ML81792114,N,Y,37.2442404,-121.9375561
MLS Listing,,Single Family Residential,1739 Curtner Ave,SAN JOSE,CA,95124,1269000,4,2.5,SAN JOSE,2042,7193,1966,12,621,58,Active,,,http://www.redfin.com/CA/San-Jose/1739-Curtner-Ave-95124/home/1606928,MLSListings,ML81793180,N,Y,37.2804614,-121.9127538
MLS Listing,,Single Family Residential,2942 La Jolla Ave,SAN JOSE,CA,95124,1239888,3,2.0,SAN JOSE,1248,7892,1956,12,994,,Active,,,http://www.redfin.com/CA/San-Jose/2942-La-Jolla-Ave-95124/home/1477679,MLSListings,ML81793080,N,Y,37.2688401,-121.9168879
MLS Listing,,Condo/Co-op,2090 Mendocino Ln,SAN JOSE,CA,95124,998000,2,2.5,SAN JOSE,1464,,2007,15,682,260,Active,,,http://www.redfin.com/CA/San-Jose/2090-Mendocino-Ln-95124/home/17290586,MLSListings,ML81792832,N,Y,37.2509736,-121.9357515
MLS Listing,,Single Family Residential,3071 Franela Dr,SAN JOSE,CA,95124,949950,4,1.0,SAN JOSE,1140,5000,1953,16,833,,Active,,,http://www.redfin.com/CA/San-Jose/3071-Franela-Dr-95124/home/974387,MLSListings,ML81792726,N,Y,37.2690404,-121.9085751
MLS Listing,,Single Family Residential,3058 Kilo Ave,SAN JOSE,CA,95124,1249888,5,2.0,SAN JOSE,1559,5270,1954,23,802,,Active,,,http://www.redfin.com/CA/San-Jose/3058-Kilo-Ave-95124/home/1633692,MLSListings,ML81790743,N,Y,37.2682074,-121.9123537
MLS Listing,,Single Family Residential,14857 Rossmoyne Dr,SAN JOSE,CA,95124,1625000,3,3.0,SAN JOSE,2360,9600,1950,25,689,,Active,,,http://www.redfin.com/CA/San-Jose/14857-Rossmoyne-Dr-95124/home/734654,MLSListings,ML81790185,N,Y,37.2528804,-121.9209329
MLS Listing,,Single Family Residential,1637 Jacob Ave,SAN JOSE,CA,95124,1545000,4,3.0,SAN JOSE,2057,5934,1949,30,751,,Active,,,http://www.redfin.com/CA/San-Jose/1637-Jacob-Ave-95124/home/1596664,MLSListings,ML81790971,N,Y,37.2624247,-121.9034181
MLS Listing,,Single Family Residential,1717 Silverwood Dr,SAN JOSE,CA,95124,1369444,3,2.0,SAN JOSE,1796,6310,1957,48,762,,Active,,,http://www.redfin.com/CA/San-Jose/1717-Silverwood-Dr-95124/home/854406,MLSListings,ML81789329,N,Y,37.2628108,-121.909153
MLS Listing,,Single Family Residential,1885 Potrero Dr,San Jose,CA,95124,1080000,3,2.0,Cambrian,1304,5928,1952,55,828,,Active,,,http://www.redfin.com/CA/San-Jose/1885-Potrero-Dr-95124/home/1229243,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40901006,N,Y,37.2712548,-121.9233777
MLS Listing,,Single Family Residential,2224 Los Gatos Almaden Rd,SAN JOSE,CA,95124,1445000,3,3.0,SAN JOSE,2464,4125,1985,73,586,,Active,,,http://www.redfin.com/CA/San-Jose/2224-LG-Almaden-Rd-95124/home/910409,MLSListings,ML81787320,N,Y,37.243096,-121.9391502
MLS Listing,,Single Family Residential,2493 Bachmann Ct,San Jose,CA,95124,1495000,4,2.0,Willow Glen,1841,6641,1973,82,812,,Active,,,http://www.redfin.com/CA/San-Jose/2493-Bachmann-Ct-95124/home/849377,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40898544,N,Y,37.2778957,-121.9180436
Redfin Data,,Single Family Residential,5484 Harwood Rd,San Jose,CA,95124,1488000,4,2.0,San Jose,1598,8080,1959,10,931,,Pre On-Market,,,http://www.redfin.com/CA/San-Jose/5484-Harwood-Rd-95124/home/1743415,Coming Soon,56102,N,Y,37.2382922,-121.9126871
Redfin Data,,Single Family Residential,4873 Pepperwood Way,San Jose,CA,95124,1300000,3,2.0,San Jose,1240,6039,1967,14,1048,,Pre On-Market,,,http://www.redfin.com/CA/San-Jose/4873-Pepperwood-Way-95124/home/1517571,Coming Soon,55787,N,Y,37.2497417,-121.9183548
